imdb_id;director_name;director_gender;editor_name;popularity;production_companies
tt0094675;Aki Kaurismäki;0;Raija Talvio;0.823904;Villealfa Filmproduction Oy
tt0092149;Aki Kaurismäki;0;Raija Talvio;0.47445;Villealfa Filmproduction Oy
tt0113101;Allison Anders;1;Margaret Goodspeed;1.698;Miramax Films
tt0107286;Stephen Hopkins;2;Tim Wellburn;132.287;Universal Pictures
tt0825671;Timo Novotny;0;Timo Novotny;0.054716;inLoops
tt0425473;Marc Meyer;0;Marc Meyer;0.001647;none
tt0076759;George Lucas;2;Marcia Lucas;10.492.614;Lucasfilm
tt0266543;Andrew Stanton;2;David Ian Salter;9.915.573;Pixar Animation Studios
tt0109830;Robert Zemeckis;2;Arthur Schmidt;10.351.236;Paramount Pictures
tt0169547;Sam Mendes;2;Christopher Greenbury;8.191.009;DreamWorks SKG
tt0033467;Orson Welles;2;Robert Wise;382.689;RKO Radio Pictures
tt0168629;Lars von Trier;2;François Gédigier;2.106.217;Fine Line Features
tt0411267;John Fawcett;2;Chris Gill;1.253.999;Constantin Film
tt0119116;Luc Besson;2;Sylvie Landra;9.233.786;Columbia Pictures
tt0017136;Fritz Lang;2;Fritz Lang;3.669.986;Paramount Pictures
tt0314412;Isabel Coixet;1;Lisa Robison;0.911462;El Deseo
tt0060371;Bruce Brown;2;Bruce Brown;0.144179;Bruce Brown Films
tt0325980;Gore Verbinski;2;Stephen E. Rivkin;28.769.026;Walt Disney Pictures
